40,1,3.9000000E+01,4.2690777E-01
40,2,1.1200000E+02,8.1716664E-01
40,3,2.0800000E+02,1.2154653E+00
40,4,3.2200000E+02,1.6175900E+00
40,5,4.5200000E+02,2.0229605E+00
40,6,5.9700000E+02,2.4315207E+00
40,7,7.5500000E+02,2.8400199E+00
40,8,9.2500000E+02,3.2482028E+00
40,9,1.1070000E+03,3.6582528E+00
40,10,1.2990000E+03,4.0665157E+00
60,1,4.7000000E+01,6.1545033E-01
60,2,1.3500000E+02,1.1947598E+00
60,3,2.5200000E+02,1.7862948E+00
60,4,3.9100000E+02,2.3790723E+00
60,5,5.5100000E+02,2.9850139E+00
60,6,7.2800000E+02,3.5928157E+00
60,7,9.2200000E+02,4.2063470E+00
60,8,1.1320000E+03,4.8245864E+00
60,9,1.3550000E+03,5.4406846E+00
60,10,1.5930000E+03,6.0623351E+00
80,1,5.2000000E+01,7.8459809E-01
80,2,1.5300000E+02,1.5603172E+00
80,3,2.8700000E+02,2.3470523E+00
80,4,4.4800000E+02,3.1412971E+00
80,5,6.3400000E+02,3.9477905E+00
80,6,8.4100000E+02,4.7589271E+00
80,7,1.0690000E+03,5.5823536E+00
80,8,1.3150000E+03,6.4108889E+00
80,9,1.5790000E+03,7.2466454E+00
80,10,1.8600000E+03,8.0882527E+00
100,1,5.8473144E+01,9.7564751E-01
100,2,1.7024897E+02,1.9353498E+00
100,3,3.1811342E+02,2.9087218E+00
100,4,4.9569272E+02,3.8908736E+00
100,5,6.9924343E+02,4.8798141E+00
100,6,9.2621123E+02,5.8747650E+00
100,7,1.1747044E+03,6.8760508E+00
100,8,1.4432467E+03,7.8831525E+00
100,9,1.7306432E+03,8.8958736E+00
100,10,2.0359000E+03,9.9156061E+00
20,1,3.0000000E+01,2.1469564E-01
20,2,8.0000000E+01,4.0382449E-01
20,3,1.4700000E+02,5.9571095E-01
20,4,2.2800000E+02,7.8244812E-01
20,5,3.2000000E+02,9.6572063E-01
20,6,4.2100000E+02,1.1708351E+00
20,7,5.3200000E+02,1.3823248E+00
20,8,6.5200000E+02,1.6293755E+00
20,9,7.7900000E+02,1.8091833E+00
20,10,9.1400000E+02,2.0111697E+00
